year,unit_id,name,unit_type,area_km2,special_status_code,reason
1964,adm_1964_233,Киселевский горсовет - г. Киселевск,горсовет,4.58,,city_area_lt_50_km2
1964,adm_1964_234,Прокопьевский горсовет - г. Прокопьевск,горсовет,5.47,,city_area_lt_50_km2
1964,adm_1964_235,Осинниковский горсовет,горсовет,2.77,,city_area_lt_50_km2
1964,adm_1964_236,Междуреченский горсовет - г. Междуреченск,горсовет,15.98,,city_area_lt_50_km2
1964,adm_1964_237,Гурьевский горсовет - г. Гурьевск,горсовет,1.88,,city_area_lt_50_km2
1964,adm_1964_238,Бердский горсовет - г. Бердск,горсовет,1.63,,city_area_lt_50_km2
1964,adm_1964_239,Искитимский горсовет - г. Искитим,горсовет,13.21,,city_area_lt_50_km2
1964,adm_1964_240,Барабинский горсовет - г. Барабинск,горсовет,2.3,,city_area_lt_50_km2
1964,adm_1964_241,Татарский горсовет - г. Татарск,горсовет,7.99,,city_area_lt_50_km2
1964,adm_1964_242,Юргинский горсовет - г. Юрга,горсовет,2.73,,city_area_lt_50_km2
1964,adm_1964_243,Куйбышевский горсовет - г. Куйбышев,горсовет,1.23,,city_area_lt_50_km2
1964,adm_1964_244,Тайгинский горсовет - г. Тайга,горсовет,2.41,,city_area_lt_50_km2
1964,adm_1964_245,Ишимский горсовет - г. Ишим,горсовет,0.83,,city_area_lt_50_km2
1964,adm_1964_246,Анжеро-Судженский горсовет - г. Анжеро-Судженск,горсовет,29.3,,city_area_lt_50_km2
1964,adm_1964_247,Мариинский горсовет - г. Мариинск,горсовет,5.43,,city_area_lt_50_km2
1964,adm_1964_248,Томский горсовет - г. Томск,горсовет,20.51,,city_area_lt_50_km2
1964,adm_1964_249,Тюменский горсовет - г. Тюмень,горсовет,14.92,,city_area_lt_50_km2
1964,adm_1964_250,Ханты-Мансийский горсовет - г. Ханты-Мансийск (окр ц),горсовет,7.14,,city_area_lt_50_km2
1964,adm_1964_287,Бийский горсовет,горсовет,5.39,,city_area_lt_50_km2
1964,adm_1964_288,Змеиногорский горсовет,горсовет,25.25,,city_area_lt_50_km2
1964,adm_1964_289,Каменский горсовет,горсовет,1.58,,city_area_lt_50_km2
1964,adm_1964_290,Новоалтайский горсовет,горсовет,25.25,,city_area_lt_50_km2
1964,adm_1964_291,Рубцовский горсовет,горсовет,12,,city_area_lt_50_km2
1964,adm_1964_292,Славгородский горсовет,горсовет,7.22,,city_area_lt_50_km2
