year,unit_id,name,admin_parent,admin_intermediate,admin_superparent,area_km2,reason
1926,adm_1926_270,Туринский,Ирбитский округ,Ирбитский округ,Уральская область,3082.96,v104_stat_scope_exclusion
1926,adm_1926_271,Тавдинский,Ирбитский округ,Ирбитский округ,Уральская область,4799.86,v104_stat_scope_exclusion
1926,adm_1926_276,Благовещенский,Ирбитский округ,Ирбитский округ,Уральская область,5702.03,v104_stat_scope_exclusion
1926,adm_1926_278,Таборинский,Ирбитский округ,Ирбитский округ,Уральская область,12220.39,v104_stat_scope_exclusion
1926,adm_1926_292,Знаменский,Ирбитский округ,Ирбитский округ,Уральская область,1077.96,v104_stat_scope_exclusion
1926,adm_1926_293,Богдановичевский,Шадринский округ,Шадринский округ,Уральская область,1131.97,v104_stat_scope_exclusion
1926,urban_1926_1,Барабинск,Барабинский округ,Барабинский округ,Сибирский край,28.24,area_lt_50_km2_or_missing
1926,urban_1926_2,Барнаул,Барнаульский округ,Барнаульский округ,Сибирский край,28.24,area_lt_50_km2_or_missing
1926,urban_1926_3,Бийск,Бийский округ,Бийский округ,Сибирский край,21.95,area_lt_50_km2_or_missing
1926,urban_1926_4,Ишим,Ишимский округ,Ишимский округ,Уральская область,28.24,area_lt_50_km2_or_missing
1926,urban_1926_5,Каинск / Куйбышев,Барабинский округ,Барабинский округ,Сибирский край,28.24,area_lt_50_km2_or_missing
1926,urban_1926_6,Камень-на-Оби,Каменский округ,Каменский округ,Сибирский край,28.24,area_lt_50_km2_or_missing
1926,urban_1926_7,Кузнецк / Сталинск / Новокузнецк,Кузнецкий округ,Кузнецкий округ,Сибирский край,18.57,area_lt_50_km2_or_missing
1926,urban_1926_8,Ленинск-Кузнецкий,Кузнецкий округ,Кузнецкий округ,Сибирский край,28.24,area_lt_50_km2_or_missing
1926,urban_1926_9,Мариинск,Томский округ,Томский округ,Сибирский край,28.24,area_lt_50_km2_or_missing
1926,urban_1926_10,Ново-Николаевск / Новосибирск,Новосибирский округ,Новосибирский округ,Сибирский край,25.78,area_lt_50_km2_or_missing
1926,urban_1926_11,Омск,Омский округ,Омский округ,Сибирский край,11.71,area_lt_50_km2_or_missing
1926,urban_1926_12,Славгород,Славгородский округ,Славгородский округ,Сибирский край,28.24,area_lt_50_km2_or_missing
1926,urban_1926_13,Тайга,Томский округ,Томский округ,Сибирский край,28.24,area_lt_50_km2_or_missing
1926,urban_1926_14,Тара,Тарский округ,Тарский округ,Сибирский край,26.18,area_lt_50_km2_or_missing
1926,urban_1926_15,Татарск,Барабинский округ,Барабинский округ,Сибирский край,28.24,area_lt_50_km2_or_missing
1926,urban_1926_16,Тобольск,Тобольский округ,Тобольский округ,Уральская область,28.24,area_lt_50_km2_or_missing
1926,urban_1926_17,Томск,Томский округ,Томский округ,Сибирский край,28.24,area_lt_50_km2_or_missing
1926,urban_1926_18,Тюкалинск,Омский округ,Омский округ,Сибирский край,28.24,area_lt_50_km2_or_missing
1926,urban_1926_19,Тюмень,Тюменский округ,Тюменский округ,Уральская область,28.24,area_lt_50_km2_or_missing
1926,urban_1926_20,Черепаново,Новосибирский округ,Новосибирский округ,Сибирский край,28.24,area_lt_50_km2_or_missing
1926,urban_1926_21,Щегловск / Кемерово,Кузнецкий округ,Кузнецкий округ,Сибирский край,21.87,area_lt_50_km2_or_missing
1926,urban_1926_22,Ялуторовск,Тюменский округ,Тюменский округ,Уральская область,28.24,area_lt_50_km2_or_missing
1930,adm_1930_121,Безымянный район №1 (Ачинский округ),Ачинский округ,Ачинский округ,Сибирский край,3851.17,v104_stat_scope_exclusion
1930,adm_1930_124,Безымянный район №2 (Ачинский округ),Ачинский округ,Ачинский округ,Сибирский край,8328.55,v104_stat_scope_exclusion
1930,adm_1930_135,Безымянный район №3 (Ачинский округ),Ачинский округ,Ачинский округ,Сибирский край,2247.7,v104_stat_scope_exclusion
