year,unit_id,name,unit_type,admin_parent,total_boundary_km,coast_km,river_km,lake_km,watershed_km,inherited_km,unexplained_km,coast_pct,river_pct,lake_pct,watershed_pct,inherited_pct,unexplained_pct,dominant_origin,dominant_origin_pct
1745,adm_1745_002,Спорная зона Мангазейского уезда,спорная территория,Зона спорной принадлежности,2035.902,0.0,960.0,0.0,865.902,0.0,210.0,0.0,47.15,0.0,42.53,0.0,10.31,river,47.15
1745,adm_1745_003,Сургутский уезд,уезд,Тобольская провинция,3238.265,0.0,770.0,0.0,1928.265,80.0,460.0,0.0,23.78,0.0,59.55,2.47,14.21,watershed,59.55
1745,adm_1745_004,Берёзовский уезд,уезд,Тобольская провинция,6622.906,3622.699,430.0,0.0,2190.207,0.0,380.0,54.7,6.49,0.0,33.07,0.0,5.74,coastline,54.7
1745,adm_1745_005,Степь казачьей орды,степная территория слабого контроля,Степь казачьей орды,3574.225,0.0,1790.0,50.0,854.225,80.0,800.0,0.0,50.08,1.4,23.9,2.24,22.38,river,50.08
1745,adm_1745_006,Тюменский уезд,уезд,Тобольская провинция,742.79,0.0,140.0,0.0,402.79,170.0,30.0,0.0,18.85,0.0,54.23,22.89,4.04,watershed,54.23
1745,adm_1745_007,Тарский уезд,уезд,Тобольская провинция,3680.497,0.0,1240.497,40.0,1600.0,390.0,410.0,0.0,33.7,1.09,43.47,10.6,11.14,watershed,43.47
1745,adm_1745_008,Кузнецкий уезд,уезд,Тобольская провинция,2039.416,0.0,180.0,0.0,1159.416,510.0,190.0,0.0,8.83,0.0,56.85,25.01,9.32,watershed,56.85
1745,adm_1745_009,Нарымский уезд,уезд,Тобольская провинция,1355.352,0.0,90.0,0.0,980.0,80.0,205.352,0.0,6.64,0.0,72.31,5.9,15.15,watershed,72.31
1745,adm_1745_010,Красноярский уезд,уезд,Енисейская провинция,2186.329,0.0,430.0,0.0,1516.329,120.0,120.0,0.0,19.67,0.0,69.36,5.49,5.49,watershed,69.36
1745,adm_1745_011,Колывано-воскресенский горный округ,горнозаводское ведомство,Колывано-Воскресенское горное ведомство,1083.095,0.0,200.0,20.0,563.095,130.0,170.0,0.0,18.47,1.85,51.99,12.0,15.7,watershed,51.99
1745,adm_1745_012,Томский уезд,уезд,Тобольская провинция,2420.705,0.0,310.0,0.0,1330.0,540.0,240.705,0.0,12.81,0.0,54.94,22.31,9.94,watershed,54.94
1745,adm_1745_013,Енисейский уезд,уезд,Енисейская провинция,3985.78,0.0,580.0,0.0,2785.78,110.0,510.0,0.0,14.55,0.0,69.89,2.76,12.8,watershed,69.89
1745,adm_1745_014,Екатеринбургское ведомство,горнозаводское ведомство,Тобольская провинция,1400.94,0.0,300.0,0.0,580.0,210.0,310.94,0.0,21.41,0.0,41.4,14.99,22.2,watershed,41.4
1745,adm_1745_015,Тобольский уезд,уезд,Тобольская провинция,3473.407,0.0,550.0,10.0,2130.0,400.0,383.407,0.0,15.83,0.29,61.32,11.52,11.04,watershed,61.32
