year,unit_id_a,name_a,unit_type_a,unit_id_b,name_b,unit_type_b,shared_boundary_km
1959,adm_1959_170,Ялуторовский район,район,adm_1959_172,Юргинский район,район,87.96
1959,adm_1959_170,Ялуторовский район,район,adm_1959_179,Тюменский район,район,172.904
1959,adm_1959_170,Ялуторовский район,район,adm_1959_185,Ярковский район (сельское население),район,79.95
1959,adm_1959_171,Тарский район,район,adm_1959_182,Седельниковский район (сельское население),район,137.753
1959,adm_1959_171,Тарский район,район,adm_1959_183,Знаменский район (сельское население),район,232.87
1959,adm_1959_171,Тарский район,район,adm_1959_199,Васисский район (сельское население),район,148.852
1959,adm_1959_172,Юргинский район,район,adm_1959_174,Аромашевский район (сельское население),район,55.016
1959,adm_1959_172,Юргинский район,район,adm_1959_185,Ярковский район (сельское население),район,99.093
1959,adm_1959_172,Юргинский район,район,adm_1959_190,Вагайский район (сельское население),район,130.987
1959,adm_1959_173,Кыштовский район (сельское население),район,adm_1959_182,Седельниковский район (сельское население),район,112.825
1959,adm_1959_173,Кыштовский район (сельское население),район,adm_1959_207,Александровский район (сельское население),район,263.179
1959,adm_1959_173,Кыштовский район (сельское население),район,adm_1959_208,Каргасокский район,район,12.688
1959,adm_1959_174,Аромашевский район (сельское население),район,adm_1959_190,Вагайский район (сельское население),район,194.146
1959,adm_1959_175,Викуловский район (сельское население),район,adm_1959_178,Большеуковский район (сельское население),район,169.019
1959,adm_1959_175,Викуловский район (сельское население),район,adm_1959_190,Вагайский район (сельское население),район,102.206
1959,adm_1959_175,Викуловский район (сельское население),район,adm_1959_198,Усть-Ишимский район (сельское население),район,121.637
1959,adm_1959_176,Туганский район (сельское население),район,adm_1959_187,Асиновский район,район,278.281
1959,adm_1959_176,Туганский район (сельское население),район,adm_1959_181,Кривошеинский район,район,34.318
1959,adm_1959_178,Большеуковский район (сельское население),район,adm_1959_183,Знаменский район (сельское население),район,167.094
1959,adm_1959_178,Большеуковский район (сельское население),район,adm_1959_193,Тевризский район (сельское население),район,190.82
1959,adm_1959_178,Большеуковский район (сельское население),район,adm_1959_198,Усть-Ишимский район (сельское население),район,72.283
1959,adm_1959_179,Тюменский район,район,adm_1959_222,Исетский район (сельское население),район,74.369
1959,adm_1959_179,Тюменский район,район,adm_1959_185,Ярковский район (сельское население),район,37.195
1959,adm_1959_179,Тюменский район,район,adm_1959_186,Велижанский район (сельское население),район,206.136
1959,adm_1959_179,Тюменский район,район,adm_1959_191,Нижне-Тавдинский район (сельское население),район,41.506
1959,adm_1959_18,Майминский район (сельское население),район,adm_1959_4,Онгудайский район (сельское население),район,88.667
1959,adm_1959_18,Майминский район (сельское население),район,adm_1959_8,Улаганский район (сельское население),район,9.725
1959,adm_1959_18,Майминский район (сельское население),район,adm_1959_9,Элекмонарский район (сельское население),район,176.571
