year,unit_id,name,unit_type,admin_parent,population,urban_pop,rural_pop,urban_share,area_km2,density,rail_length_km,rail_density_km_1000,rail_segments_count,population_source_year,population_source_unit,population_basis,population_quality,population_method,population_note,population_source,population_reconstruction_version,population_recalc_note,urban_pop_method,urban_pop_source,merged_city_names_v114
1745,adm_1745_002,Спорная зона Мангазейского уезда,спорная территория,Зона спорной принадлежности,,,,,135304.195,,0,0,0,,,,,,,,,,,,
1745,adm_1745_003,Сургутский уезд,уезд,Тобольская провинция,,,,,393209.788,,0,0,0,,,,,,,,,,,,
1745,adm_1745_004,Берёзовский уезд,уезд,Тобольская провинция,,,,,523905.691,,0,0,0,,,,,,,,,,,,
1745,adm_1745_005,Степь казачьей орды,степная территория слабого контроля,Степь казачьей орды,,,,,450006.038,,0,0,0,,,,,,,,,,,,
1745,adm_1745_006,Тюменский уезд,уезд,Тобольская провинция,,,,,24497.785,,0,0,0,,,,,,,,,,,,
1745,adm_1745_007,Тарский уезд,уезд,Тобольская провинция,,,,,414113.342,,0,0,0,,,,,,,,,,,,
1745,adm_1745_008,Кузнецкий уезд,уезд,Тобольская провинция,,,,,170437.856,,0,0,0,,,,,,,,,,,,
1745,adm_1745_009,Нарымский уезд,уезд,Тобольская провинция,,,,,101593.249,,0,0,0,,,,,,,,,,,,
1745,adm_1745_010,Красноярский уезд,уезд,Енисейская провинция,,,,,201473.035,,0,0,0,,,,,,,,,,,,
1745,adm_1745_011,Колывано-воскресенский горный округ,горнозаводское ведомство,Колывано-Воскресенское горное ведомство,,,,,67134.111,,0,0,0,,,,,,,,,,,,
1745,adm_1745_012,Томский уезд,уезд,Тобольская провинция,,,,,238786.829,,0,0,0,,,,,,,,,,,,
1745,adm_1745_013,Енисейский уезд,уезд,Енисейская провинция,,,,,401908.703,,0,0,0,,,,,,,,,,,,
1745,adm_1745_014,Екатеринбургское ведомство,горнозаводское ведомство,Тобольская провинция,,,,,43069.042,,0,0,0,,,,,,,,,,,,
1745,adm_1745_015,Тобольский уезд,уезд,Тобольская провинция,,,,,236938.842,,0,0,0,,,,,,,,,,,,
1745,adm_1745_016,Пелымский уезд,уезд,Тобольская провинция,,,,,96322.597,,0,0,0,,,,,,,,,,,,
1745,adm_1745_017,Верхотурский уезд,уезд,Тобольская провинция,,,,,39414.836,,0,0,0,,,,,,,,,,,,
1745,adm_1745_018,Туринский уезд,уезд,Тобольская провинция,,,,,14694.444,,0,0,0,,,,,,,,,,,,
1765,adm_1765_001,Мангазейский уезд,уезд,Енисейская провинция,,,,,2183359.3,,0,0,0,,,,,,,,,,,,
